,index,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,HA_Close,HA_Open,HA_High,HA_Low,RSI,HA_RSI,Date
0,2020-05-04,SBIN,EQ,190.5,182.45,183.5,178.0,179.3,178.85,179.95,58122608,1045899224354999.9,488730,24655136,0.4242,180.70000000000002,180.64999999999998,183.5,178.0,,,2020-05-04
1,2020-05-05,SBIN,EQ,178.85,181.0,181.25,168.8,171.4,170.4,174.56,91050629,1589416526095000.0,637656,32473844,0.3567,175.36249999999998,180.675,181.25,168.8,,,2020-05-05
2,2020-05-06,SBIN,EQ,170.4,171.15,173.3,166.55,171.95,171.1,170.24,73156881,1245454378380000.0,446943,12890724,0.1762,170.525,178.01875,178.01875,166.55,,,2020-05-06
3,2020-05-07,SBIN,EQ,171.1,170.85,172.55,168.8,170.95,170.75,170.58,42944139,732545614185000.0,270188,9345582,0.21760000000000002,170.7375,174.27187500000002,174.27187500000002,168.8,,,2020-05-07
4,2020-05-08,SBIN,EQ,170.75,172.45,173.8,166.1,166.9,166.65,169.16,55935527,946221959560000.0,387275,15664803,0.2801,169.75,172.50468750000002,173.8,166.1,,,2020-05-08
5,2020-05-11,SBIN,EQ,166.65,167.95,168.9,165.0,165.25,165.45,166.54,54594499,909226258029999.9,358472,11375721,0.2084,166.825,171.12734375000002,171.12734375000002,165.0,,,2020-05-11
6,2020-05-12,SBIN,EQ,165.45,164.2,168.5,160.85,167.1,166.9,163.7,70752913,1158247438695000.0,412383,21334322,0.3015,165.11249999999998,168.976171875,168.976171875,160.85,,,2020-05-12
7,2020-05-13,SBIN,EQ,166.9,178.55,178.55,170.5,174.5,174.1,174.09,81721884,1422724408175000.0,409330,22769458,0.2786,175.425,167.0443359375,178.55,167.0443359375,,,2020-05-13
8,2020-05-14,SBIN,EQ,174.1,170.95,171.75,167.5,168.3,167.95,169.36,48137099,815231812335000.0,277659,12710652,0.2641,169.5375,171.23466796875,171.75,167.5,,,2020-05-14
9,2020-05-15,SBIN,EQ,167.95,167.95,168.25,164.7,166.45,166.4,166.17,35498484,589876944260000.0,225551,6968087,0.1963,166.825,170.38608398437498,170.38608398437498,164.7,,,2020-05-15
10,2020-05-18,SBIN,EQ,166.4,166.4,166.4,155.0,155.45,155.3,157.74,77350889,1220116853980000.0,585750,28349251,0.3665,160.775,168.60554199218748,168.60554199218748,155.0,,,2020-05-18
11,2020-05-19,SBIN,EQ,155.3,157.5,157.85,152.4,153.05,152.8,154.9,71522983,1107913648320000.1,402913,18090042,0.2529,155.1375,164.69027099609374,164.69027099609374,152.4,,,2020-05-19
12,2020-05-20,SBIN,EQ,152.8,153.0,155.25,151.15,153.6,153.4,152.99,66178068,1012462487660000.0,339861,23149357,0.3498,153.2,159.91388549804685,159.91388549804685,151.15,,,2020-05-20
13,2020-05-21,SBIN,EQ,153.4,153.65,156.15,151.5,152.0,151.95,154.02,61150189,941842926570000.1,358655,21174615,0.3463,153.3125,156.55694274902342,156.55694274902342,151.5,,,2020-05-21
14,2020-05-22,SBIN,EQ,151.95,152.0,155.6,149.45,151.1,150.85,151.9,87069955,1322611217165000.0,485367,21241024,0.244,151.975,154.9347213745117,155.6,149.45,20.77244258872649,21.275000000000034,2020-05-22
15,2020-05-26,SBIN,EQ,150.85,152.4,153.2,150.2,151.6,151.4,151.82,48281208,732986234760000.0,248836,15952717,0.3304,151.8,153.45486068725586,153.45486068725586,150.2,26.25,23.72456091441323,2020-05-26
16,2020-05-27,SBIN,EQ,151.4,151.95,160.8,150.8,158.6,158.6,155.74,88206678,1373707867355000.0,380745,23542822,0.2669,155.5375,152.62743034362794,160.8,150.8,36.559139784946225,32.86653329522723,2020-05-27
17,2020-05-28,SBIN,EQ,158.6,159.45,162.4,156.7,157.9,158.2,159.38,76970390,1226735405365000.0,364211,15994004,0.2078,159.1875,154.08246517181396,162.4,154.08246517181396,36.51987110633726,37.758346581876,2020-05-28
18,2020-05-29,SBIN,EQ,158.2,156.1,161.9,155.2,161.3,161.3,159.32,58368035,929937274079999.9,291350,14595507,0.2501,158.625,156.63498258590698,161.9,155.2,44.12733260153678,38.10160427807488,2020-05-29
19,2020-06-01,SBIN,EQ,161.3,164.0,171.4,163.35,169.9,170.05,168.77,92742124,1565201738610000.0,437760,20415146,0.22010000000000002,167.2,157.6299912929535,171.4,157.6299912929535,54.33145009416198,50.357824427480914,2020-06-01
20,2020-06-02,SBIN,EQ,170.05,169.9,171.3,167.2,170.55,170.25,169.27,70422258,1192035353205000.0,325940,14298035,0.203,169.66250000000002,162.41499564647674,171.3,162.41499564647674,53.230472516875594,54.28033866415808,2020-06-02
21,2020-06-03,SBIN,EQ,170.25,172.5,179.9,172.0,174.65,174.9,176.2,113173574,1994168889900000.0,539428,25775845,0.2278,174.825,166.0387478232384,179.9,166.0387478232384,50.811359026369175,49.37499999999997,2020-06-03
22,2020-06-04,SBIN,EQ,174.9,174.9,177.65,171.5,174.5,174.05,174.31,83495015,1455360101505000.0,384768,16557717,0.1983,174.52499999999998,170.4318739116192,177.65,170.4318739116192,56.931818181818215,55.87975243147654,2020-06-04
23,2020-06-05,SBIN,EQ,174.05,176.55,189.8,176.0,189.25,187.8,182.62,201325176,3676580798690000.0,858150,37943833,0.1885,182.53750000000002,172.47843695580957,189.8,172.47843695580957,69.03914590747331,66.46581084621434,2020-06-05
24,2020-06-08,SBIN,EQ,187.8,197.0,197.5,185.8,186.5,186.8,191.97,151750421,2913083608455000.0,727718,42655560,0.2811,191.77499999999998,177.5079684779048,197.5,177.5079684779048,84.16485900216918,80.4518664047151,2020-06-08
25,2020-06-09,SBIN,EQ,186.8,187.7,191.0,183.35,183.75,184.45,187.15,96656234,1808885154745000.0,462962,18258079,0.1889,186.625,184.6414842389524,191.0,183.35,84.43960826985848,81.22985370691796,2020-06-09
26,2020-06-10,SBIN,EQ,184.45,184.55,189.0,183.8,188.8,187.7,186.08,67335901,1252974145510000.0,330207,11188551,0.16620000000000001,186.2625,185.6332421194762,189.0,183.8,85.28806584362134,83.84950089582802,2020-06-10
27,2020-06-11,SBIN,EQ,187.7,188.0,190.4,176.35,177.2,177.15,183.03,91729798,1678903368355000.0,478372,23909641,0.2607,182.975,185.94787105973808,190.4,176.35,71.83708838821491,78.51478010093729,2020-06-11
